Date,Open,High,Low,Close,Adj Close,Volume,股票代碼,公司名稱,產業類別,SMA_20,K,D,B_K,B_D,macd,dif,macd_d,buyOrsell,B_Close,winOrloss,percentage
2020-09-01,559.0,577.0,553.0,576.0,443.13397216796875,10727355,2454,聯發科,半導體業,635.3,23.70641377183929,19.334420890126534,14.726287324425604,17.148424449270152,-23.479674948682828,-13.033469183479253,-23.48284795269774,1,596.0,1,0.034722222222222224
2020-12-21,698.0,708.0,689.0,708.0,544.685546875,5371824,2454,聯發科,半導體業,711.9,21.076707561263294,21.859380206593347,14.948394675228274,22.250716529258373,1.3848430308919433,4.146226451659675,1.3844936972553796,1,899.0,1,0.269774011299435
2021-07-12,940.0,941.0,930.0,935.0,748.252685546875,5646291,2454,聯發科,半導體業,942.45,25.052574248638717,29.760264230734123,19.66841361176405,32.114109221781824,-9.764752672437794,-8.56544708195053,-10.52585712648522,1,910.0,-1,-0.026737967914438502
2021-08-18,870.0,912.0,865.0,912.0,729.846435546875,6008564,2454,聯發科,半導體業,922.3,24.35827526953803,24.146104698808582,10.993934643437484,24.040019413443854,-7.7861780984370625,-5.846163535505228,-8.0561079442665,1,909.0,-1,-0.003289473684210526
2021-10-07,885.0,914.0,883.0,911.0,729.0462036132812,6379657,2454,聯發科,半導體業,916.45,28.00407945952863,27.122006622750064,17.444715680521018,26.68097020436078,-7.434892285114074,-2.8182903427710886,-8.803494759512887,1,910.0,-1,-0.0010976948408342481
2022-01-17,1075.0,1120.0,1070.0,1115.0,892.30126953125,5457933,2454,聯發科,半導體業,1120.25,26.28940282870903,26.3527903794338,17.211882020841323,26.384484154796183,5.981868120069748,15.812153419365087,5.686781425660911,1,1100.0,-1,-0.013452914798206279
2022-03-17,951.0,978.0,949.0,968.0,774.6615600585938,9344377,2454,聯發科,半導體業,1031.1,26.621114312383387,16.85603380140328,7.550719087622702,11.973493545913227,-45.23866058432293,-34.77071969655082,-47.80651750246284,1,969.0,1,0.0010330578512396695
2022-04-13,849.0,882.0,847.0,880.0,704.23779296875,10111374,2454,聯發科,半導體業,917.35,23.598298830845952,16.78323790061791,8.515727816161403,13.375707435503891,-45.16799260369146,-42.11519920786274,-48.10149777458287,1,651.0,-1,-0.26022727272727275
2022-09-13,631.0,636.0,625.0,626.0,550.7938842773438,4327108,2454,聯發科,半導體業,658.6,23.447678684969954,20.1114853474686,21.46184060810009,18.443388678717923,-17.507816453792543,-14.38259227437609,-17.59450855094144,1,660.0,1,0.054313099041533544
2023-04-28,668.0,674.0,663.0,665.0,585.1085205078125,6381645,2454,聯發科,半導體業,715.3,24.74338768941658,16.254374340089075,16.345850764894095,12.009867665425324,-27.252466279663736,-20.631857143692415,-27.568587165354643,1,671.0,1,0.009022556390977444
